t       H       V      T     P
0.0 -669.2931788751569 -669.2932036253563 2.4750199478244956E-5 1.5884604558841528E-5 0.0
0.1 -669.2931825987793 -670.2416940905692 0.9485114917899912 0.608751859953464 0.0
0.2 -669.2931916528006 -672.5049030719299 3.211711419129324 2.0612668554379936 0.0
0.3 -669.2932004263059 -674.7419977353851 5.448797309079177 3.497021939240547 0.0
0.4 -669.2932039044471 -675.6986269932355 6.405423088788416 4.110981525094851 0.0
0.5 -669.2932006184799 -674.9533881033966 5.660187484916714 3.6326915266212363 0.0
0.6 -669.2931911061157 -673.1617155503845 3.8685244442688123 2.482807505347011 0.0
0.7000000000000001 -669.2931844806465 -671.7926187576151 2.4994342769685884 1.6041294998595033 0.0
0.8 -669.2931859999296 -671.8575334345124 2.5643474345828734 1.6457905717338936 0.0
0.9 -669.2931919561611 -673.1701173406111 3.876925384450029 2.4881992038187106 0.0
1.0 -669.2932001672193 -674.7475535001304 5.454353332911105 3.5005877788438697 0.0
1.1 -669.2932015303113 -675.3334949245811 6.040293394269832 3.8766423709714117 0.0
1.2 -669.2931952908465 -674.6031856820626 5.309990391216128 3.4079360713781806 0.0
1.3 -669.2931901672979 -673.320244856636 4.0270546893381125 2.5845517460653746 0.0
1.4000000000000001 -669.2931885838285 -672.2150064811385 2.921817897309986 1.875214053628551 0.0
1.5 -669.2931884743198 -671.5456938644458 2.2525053901259344 1.4456512732456859 0.0
1.6 -669.2931886578721 -671.3454639254512 2.0522752675791196 1.3171441749404698 0.0
1.7 -669.2931901180806 -671.5830868548901 2.289896736809525 1.4696489285580583 0.0
1.8 -669.2931919796854 -672.0685793150211 2.775387335335748 1.7812353536049723 0.0
1.9000000000000001 -669.2931928253038 -672.567721035014 3.2745282097102355 2.101582485173035 0.0
2.0 -669.2931934756065 -672.9781413316351 3.6849478560286584 2.3649885959269366 0.0
2.1 -669.2931930278254 -673.2731868581633 3.979993830337917 2.5543482264503274 0.0
2.2 -669.293192819565 -673.5609158504967 4.267723030931688 2.7390119733215803 0.0
2.3000000000000003 -669.2931947228097 -673.8913981689279 4.598203446118218 2.9511133228195536 0.0
2.4 -669.2931962560937 -674.0259442803617 4.732748024268018 3.0374636337059076 0.0
2.5 -669.2931941381892 -673.8113906171085 4.5181964789193625 2.8997650887569106 0.0
2.6 -669.2931935646219 -673.4945079456598 4.201314381037964 2.696391098941332 0.0
2.7 -669.2931907907154 -673.2414323460694 3.9482415553539534 2.533969710616255 0.0
2.8000000000000003 -669.2931926341158 -673.3213256760631 4.028133041947241 2.5852438295690274 0.0
2.9 -669.2931948640403 -673.4618232897468 4.1686284257064665 2.675413349831667 0.0
3.0 -669.2931911022886 -673.3513789841553 4.058187881866759 2.6045329366172543 0.0
3.1 -669.2931907390245 -673.3966264424474 4.10343570342294 2.6335728541823915 0.0
3.2 -669.2931971277463 -673.5936634221399 4.300466294393534 2.760026502619195 0.0
3.3000000000000003 -669.2932009895826 -673.0952877490555 3.8020867594729437 2.4401679964527516 0.0
3.4 -669.2931910451081 -671.5837566499758 2.2905656048678127 1.4700782060924587 0.0
3.5 -669.2931837854532 -670.5256475787073 1.2324637932542002 0.7909916041743763 0.0
3.6 -669.2931893644004 -670.9528301869329 1.6596408225324821 1.0651525535707866 0.0
3.7 -669.2931935853237 -672.166836585647 2.8736430003233666 1.8442955477406282 0.0
3.8000000000000003 -669.2931963701884 -673.4147015575546 4.1215051873662185 2.645169795341335 0.0
3.9 -669.2931965578032 -674.2512284364437 4.958031878640601 3.1820501427296275 0.0
4.0 -669.2931988321368 -674.5758189954869 5.282620163350134 3.3903699403771417 0.0
4.1 -669.2931993559592 -674.1716036103862 4.878404254427002 3.1309453698689143 0.0
4.2 -669.2931960465417 -673.0894592494885 3.796263202946837 2.4364304551604246 0.0
4.3 -669.2931850590006 -672.1376671198493 2.8444820608486348 1.8255801433444905 0.0
4.4 -669.2931917175005 -672.7135374562906 3.4203457387901475 2.195167742504707 0.0
4.5 -669.2931999562429 -674.0238761467215 4.730676190478544 3.0361339369296707 0.0
4.6000000000000005 -669.2932006560605 -674.7302997889013 5.437099132840776 3.489514084454569 0.0
4.7 -669.2931993041574 -674.6107598161921 5.3175605120346905 3.412794552449059 0.0
4.8 -669.293197224067 -673.8785305999651 4.585333375898119 2.942853349954669 0.0
4.9 -669.2931987639931 -672.8170001808696 3.523801416876507 2.2615652896118776 0.0
5.0 -669.2931913679171 -671.4759107955174 2.1827194276003117 1.4008628496432003 0.0
5.1000000000000005 -669.2931855973751 -671.0148346210464 1.7216490236712783 1.1049492330020236 0.0
5.2 -669.2932030934693 -671.9408961731201 2.647693079650792 1.699281559342666 0.0
5.3 -669.2931965902828 -672.2660078734498 2.972811283166969 1.9079414573073206 0.0
5.4 -669.2931931244914 -672.4696623678001 3.1764692433086643 2.038648531606042 0.0
5.5 -669.2931967727802 -673.0871103168461 3.7939135440658185 2.434922451065106 0.0
5.6000000000000005 -669.2931995771684 -673.6520278530443 4.358828275875875 2.7974830490980342 0.0
5.7 -669.2932012988238 -673.7731630251835 4.479961726359758 2.875226138056804 0.0
5.8 -669.293195074261 -673.4706066434371 4.177411569176085 2.681050345239364 0.0
5.9 -669.2931991633674 -673.4946250121862 4.201425848818831 2.6964626386322212 0.0
