t H V T P
0.0 -513.5007917597485 -669.2763843473571 155.77559258760854 99.97631293227984 0.0
0.1 -513.5002252491621 -618.6759021244504 105.17567687528829 67.50143722441285 0.0
0.2 -513.4999638234034 -580.6397660531653 67.13980222976195 43.090125779229496 0.0
0.3 -513.50031543907 -590.7060690994821 77.205753660412 49.550423528543604 0.0
0.4 -513.5001467858073 -581.7198608723864 68.21971408657917 43.783210003420244 0.0
0.5 -513.5000939203894 -577.0452929680977 63.54519904770823 40.78312012688855 0.0
0.6 -513.5001423200142 -577.9014197553622 64.40127743534802 41.33254869496864 0.0
0.7000000000000001 -513.5000251392105 -572.5314803347502 59.03145519553975 37.886212720763574 0.0
0.8 -513.5000467876089 -570.3251448747156 56.82509808710678 36.47017927772597 0.0
0.9 -513.5000638127168 -569.1703940163969 55.67033020368016 35.72905267785329 0.0
1.0 -513.5000140311738 -567.5217725629717 54.02175853179784 34.67100427231309 0.0
1.1 -513.5000416701573 -567.9140864612094 54.41404479105206 34.922772429074726 0.0
1.2 -513.4999947460794 -566.1002820020046 52.60028725592514 33.7587082268272 0.0
1.3 -513.5000557120773 -568.1737592593904 54.673703547313195 35.08942064809511 0.0
1.4000000000000001 -513.5000228551978 -569.0643482349319 55.56432537973412 35.661019096500034 0.0
1.5 -513.5000137592908 -572.7185319477634 59.218518188472544 38.00626919436665 0.0
1.6 -513.500127327898 -580.5449938504388 67.04486652254083 43.0291963241337 0.0
1.7 -513.5001119691882 -582.5925302587564 69.09241828956822 44.34330897044089 0.0
1.8 -513.5001323956033 -585.6020431328685 72.10191073726527 46.2747922902625 0.0
1.9000000000000001 -513.5001537794325 -589.1134854206152 75.61333164118278 48.52841180340651 0.0
2.0 -513.5002773396844 -594.2842700641969 80.78399272451244 51.846926738555915 0.0
2.1 -513.5003148301116 -591.5683106543299 78.06799582421834 50.10380798987138 0.0
2.2 -513.5000989680498 -584.3268981088356 70.82679914078584 45.45642945257013 0.0
2.3000000000000003 -513.5002532360724 -591.8332448365408 78.33299160046845 50.27388149247874 0.0
2.4 -513.5002676406716 -594.1765840676808 80.67631642700917 51.77782041043508 0.0
2.5 -513.5000730000752 -586.5878456316923 73.0877726316171 46.90751552771253 0.0
2.6 -513.5001134351032 -584.5984961085943 71.09838267349107 45.63073095771588 0.0
2.7 -513.5001510769362 -582.7507217059247 69.25057062898848 44.444810672435445 0.0
2.8000000000000003 -513.5000289810587 -576.5187814697736 63.01875248871492 40.445248287983894 0.0
2.9 -513.5001667737697 -580.193017894381 66.69285112061128 42.803273884066606 0.0
3.0 -513.5001129475684 -578.2053769924522 64.70526404488389 41.527646398641885 0.0
3.1 -513.4999918822457 -573.858802937395 60.35881105514928 38.738105771455615 0.0
3.2 -513.500132227012 -578.3920631952362 64.8919309682242 41.64744867595616 0.0
3.3000000000000003 -513.500069188593 -577.2744834913394 63.77441430274647 40.93022979718987 0.0
3.4 -513.5000969527105 -576.1160944703911 62.61599751768067 40.18676134307624 0.0
3.5 -513.5001465076932 -577.4292172497604 63.92907074206721 41.029487840877465 0.0
3.6 -513.5000733180966 -578.5385105740442 65.03843725594751 41.74147597654071 0.0
3.7 -513.5001081755511 -580.8947584647734 67.39465028922228 43.25368650732276 0.0
3.8000000000000003 -513.500145339368 -581.997012631791 68.49686729242295 43.961086108253795 0.0
3.9 -513.5001460734126 -582.941935755574 69.44178968216147 44.567534493164196 0.0
4.0 -513.5000854580131 -583.703743063189 70.20365760517585 45.05649906469368 0.0
4.1 -513.5001930445433 -588.9999858740279 75.49979282948453 48.45554293107711 0.0
4.2 -513.5001293685663 -588.828070555371 75.32794118680476 48.345249056914405 0.0
4.3 -513.5001479319596 -588.2841913485347 74.784043416575 47.99617708243883 0.0
4.4 -513.5001403031429 -589.5933554074476 76.09321510430475 48.8363995855947 0.0
4.5 -513.5002390285127 -589.0226485353652 75.5224095068525 48.47005824747853 0.0
4.6000000000000005 -513.5000628393617 -580.8260026894483 67.32593985008661 43.20958835143946 0.0
4.7 -513.5001719416291 -581.6088599320223 68.10868799039312 43.71195378444804 0.0
4.8 -513.5000617136834 -578.5135547892129 65.01349307552945 41.725466875590506 0.0
4.9 -513.5002518250798 -580.6280515593663 67.12779973428651 43.08242261326049 0.0
5.0 -513.5000641492122 -578.5467954282502 65.046731279038 41.74679905594095 0.0
5.1000000000000005 -513.5001161203918 -580.1591454448468 66.659029324455 42.78156715568712 0.0
5.2 -513.5000940187962 -582.4068863170654 68.90679229826922 44.22417476022092 0.0
5.3 -513.5001076364391 -583.5295480471191 70.02944041068 44.9446869863971 0.0
5.4 -513.5000197721503 -581.6485830417176 68.14856326956739 43.73754562025985 0.0
5.5 -513.5001226993542 -586.5302482397094 73.03012554035521 46.87051779565516 0.0
5.6000000000000005 -513.5001942706747 -588.2529873201833 74.75279304950857 47.9761206896164 0.0
5.7 -513.5000394281699 -579.9920716012713 66.49203217310139 42.6743888796479 0.0
5.8 -513.5001631525462 -580.6010731650251 67.10091001247898 43.065164869621476 0.0
5.9 -513.5001413489318 -578.5402545151888 65.04011316625703 41.74255157080274 0.0
6.0 -513.5000797312994 -575.9718201570138 62.47174042571445 40.09417756965227 0.0
6.1000000000000005 -513.5001614430093 -581.8004929155128 68.30033147250349 43.83495000240897 0.0
6.2 -513.5001460392629 -584.1285172212947 70.62837118203188 45.32907897763779 0.0
6.3 -513.5001367391981 -584.0123009711167 70.51216423191859 45.25449770199347 0.0
6.4 -513.5001414669223 -582.1806786306922 68.68053716376996 44.07896488649495 0.0
6.5 -513.5000617541851 -577.700944419044 64.20088266485891 41.20393592610279 0.0
6.6000000000000005 -513.5001019451794 -578.0923182948816 64.59221634970217 41.45509272343501 0.0
6.7 -513.5001251489487 -578.3896051061935 64.88947995724477 41.64587562438493 0.0
6.8 -513.5000951392591 -573.8117159490456 60.31162080978648 38.7078192120571 0.0
6.9 -513.5000759699203 -571.5996425157782 58.09956654585786 37.28812935153332 0.0
7.0 -513.5001331895542 -572.7060472874045 59.205914097850425 37.99817992641824 0.0
7.1000000000000005 -513.5000784993028 -569.8761936523294 56.37611515302664 36.18202336335444 0.0
7.2 -513.5000588609055 -571.1799615337151 57.67990267280961 37.01879032350396 0.0
7.3 -513.5001408458513 -576.7830354857169 63.28289463986564 40.61477393653631 0.0
7.4 -513.5000691833237 -577.2459778897315 63.74590870640784 40.91193499007322 0.0
7.5 -513.5000884872591 -576.3282564662727 62.82816797901364 40.322931715371766 0.0
